OTUi OTUj pvalue r_coef rand_r_coef skew kurt sd mean_tip_dist_i mean_tip_dist_j i_j_dist anonymized_name
125624 1504042 0.00779922007800005 -0.428094324241 -0.281620717157 2.0301587148579543 7.79430739509 0.0846218004674 0 0 0.42995 F01
1504042 4308835 0.00389961003899997 -0.310699350975 -0.153260532908 1.8045112384347222 6.43279931648 0.082215158488 0 0 0.19057 F01
164430 48084 4.99975000000097e-05 0.438665798356 0.183992175502 -0.10958029044893045 -0.344414555629 0.0805300671866 0 0 0.61098 F01
173773 48084 0.00339966003400005 -0.354865184881 -0.160023789749 0.87269176252662 3.23322883418 0.0809809386872 0 0 0.52974 F01
173851 4478815 0.00629937006299996 0.279787345019 -0.0886085671676 0.8548448663792947 2.278432528 0.082435068942 0 0 0.50693 F01
4478815 4481613 0.000599940006000055 -0.316257113737 -0.066350727 -0.02973699085951072 0.0737689056809 0.0807867448721 0 0 0.61296 F01
176312 4423553 0.00989901009899996 -0.310638718886 -0.144755808758 0.5946571673642445 0.65520419268 0.0831708440519 0 0 0.39166 F01
183829 4423553 0.00479952004799999 -0.343204219657 -0.161024896097 0.4210309294186784 0.388866603955 0.0814891032643 0 0 0.1132 F01
2056702 3907189 0.00889911008900002 -0.223339469904 0.0116849369425 0.09039523675990725 0.0891560927238 0.0821395867833 0 0 0.29756 F01
2056702 4308835 0.00269973002699997 -0.498711872513 -0.312251489978 0.3056909998722063 0.0619328094641 0.0748857135908 0 0 0.06844 F01
2339949 4423553 0.00809919008100002 -0.353337644936 -0.180819401246 0.533562949338488 0.665288648688 0.0835215608131 0 0 0.41529 F01
311947 3236435 0.000199980002000055 -0.324845003325 -0.0366364587204 0.05229291343531678 0.0349279167398 0.0821502017769 0 0 0.00912 F01
3236435 4468234 0.00429957004299997 -0.243681491465 0.0103144608126 0.05066841709644029 0.0151430594867 0.0830526030303 0 0 0.85064 F01
3236435 4481613 0.00449955004500002 0.255793460283 -0.0438986558355 -0.0018791012308382253 -0.015689687122 0.0813938697172 0 0 0.8985 F01
360890 3236435 0.002799720028 -0.314294222467 -0.0604437179745 -0.06099892507626625 0.413263848613 0.0828634153306 0 0 0.86932 F01
3943186 183439 0.00779922007800005 -0.256469499928 -0.0469924190169 0.9926238755199236 2.35991873468 0.0837939362353 0 0 0.21351 F01
4143073 798581 0.00229977002299997 -0.371683844953 -0.150980259286 0.07231925200059085 0.062838202744 0.0818638624391 0 0 0.3988 F01
4217963 4423553 0.00669933006699996 -0.299135683781 -0.133650271974 0.7115294930217209 0.943547262832 0.0835109913265 0 0 0.40094 F01
4306262 798581 0.00439956004399999 0.252351686431 0.0258907579144 0.09388397768676852 -0.0253241493516 0.0834707185208 0 0 0.61425 F01
4327141 4308835 0.00539946005400005 -0.263698295127 -0.106604823416 1.2902816468736502 2.66654674393 0.0827028634235 0 0 0.40948 F01
4328550 173773 0.00889911008900002 0.220201146756 -0.0207176532215 -0.003589922470221285 -0.053920334971 0.0820098969203 0 0 0.47121 F01
4328550 3907189 0.000499950005000027 0.280979904219 0.000283335132718 -0.01528526754729004 -0.10695373917 0.0830193030332 0 0 0.14305 F01
4328550 4447072 0.000199980002000055 0.371650799997 0.104729842798 -0.060860395809609454 -0.1185689468 0.0811647592734 0 0 0.61589 F01
4423553 3236435 0.000399960004 -0.305811270511 -0.0317422118832 0.04034559447044815 0.110070077972 0.0820050779314 0 0 0.21941 F01
4423553 48084 0.000599940006000055 -0.416490649372 -0.176172794939 0.555760283550089 0.740250405349 0.0812883166646 0 0 0.11905 F01
4426438 3236435 1.99995999999869e-05 -0.421878067201 -0.0651474134564 0.0010077416302620087 0.00841208626632 0.0825533851814 0 0 0.07117 F01
4426438 48084 0.000199980002000055 -0.318567101039 -0.0779567495151 0.5634708093445427 0.459763588153 0.0819543533218 0 0 0.21191 F01
4447072 48084 0.00539946005400005 -0.303484496045 -0.0849274216063 1.2123131224597636 4.49644640592 0.0821658170739 0 0 0.67442 F01
110944 125624 0.000199980002000055 -0.400433627847 -0.15149222939 0.07476118928465178 -0.00200295580386 0.070636117189 0 0 0.11267 M01
110944 28218 0.00659934006600005 -0.199704089223 -0.00462304259843 0.02147692523726832 -0.000598058266096 0.0720388407007 0 0 0.10396 M01
110944 4478815 0.001199880012 -0.25750701854 0.035958281176 0.019880628450102876 -0.0324785377857 0.071265961238 0 0 0.22431 M01
1142029 3708846 0.00329967003300002 0.341516993643 0.130401221943 0.22895407825491151 0.231490162251 0.0708358778542 0 0 0.75444 M01
1142029 3907189 0.000199980002000055 0.381585231592 0.130499891696 0.014204269122579563 0.0454001557567 0.0712526370823 0 0 0.71977 M01
1142029 4481613 0.00889911008900002 -0.460152849117 -0.313344247052 0.19836830025253036 0.0653581899318 0.0665782744477 0 0 0.82019 M01
1142029 528865 0.000299970002999972 0.330806452657 0.0532083556689 0.09094493559651833 0.0547601563692 0.0721732729023 0 0 1.26459 M01
1142029 841635 0.00199980002 0.340975049059 0.108719011565 0.2021398323662388 0.248984136134 0.0716462711786 0 0 0.85575 M01
125624 186321 0.000299970002999972 -0.273136727258 -0.0232386700514 -0.04956423580033201 -0.0417008842216 0.0720814501552 0 0 0.31053 M01
125624 359872 0.000299970002999972 0.339270855642 0.0742731579384 0.17477335934244517 0.016137540366 0.0709688387933 0 0 0.47565 M01
125624 4242681 0.00169983001700003 -0.220793967624 0.00182415362528 -0.08807159374428962 -0.00546482853448 0.0727118117224 0 0 0.12326 M01
125624 528865 0.000199980002000055 0.420285376267 0.11888312514 0.21761754784755497 0.0157525741206 0.0714076516346 0 0 0.97836 M01
125624 841635 0.000699930006999971 0.308817418979 0.0639579064879 0.3409680403986656 0.0787432133545 0.0710323349893 0 0 0.69696 M01
125624 846127 0.00899910009000005 0.259768417217 0.0866688150143 0.05492761283909297 -0.051954188076 0.0722189128523 0 0 0.54744 M01
176312 315846 0.00169983001700003 0.227954638063 0.0132914476377 -0.017445846945372354 -0.0530753029468 0.072705698356 0 0 0.46367 M01
176312 3907189 0.00849915008500002 0.287623079415 0.126019559619 -0.04367259170215703 -0.0270874348909 0.0709155123319 0 0 0.22527 M01
181432 185420 0.000299970002999972 -0.271955585614 0.0117405099565 0.009891000367022769 -0.0264418059699 0.0724503479288 0 0 0.30803 M01
181432 3708846 9.99900010000276e-05 -0.374926870048 -0.151302237511 0.1697138926504719 0.39371236931 0.0716400753979 0 0 0.52542 M01
181432 4453609 9.99900010000276e-05 -0.261810686253 -0.0112340246198 0.01591027629826738 -0.0620634548631 0.0719741920203 0 0 0.33483 M01
181432 841635 0.00919908009199999 -0.363205190877 -0.204862200783 0.05673550888814773 -0.0125323797451 0.069102414425 0 0 0.75417 M01
4476527 3708846 0.00729927007300002 -0.28701986021 -0.110770591776 -0.3072216775888673 -0.314792186585 0.0726412632348 0 0 0.54526 M01
4476527 3907189 9.99900010000276e-05 -0.285215004736 -0.0434126383846 -0.01706448807195672 -0.0490099922825 0.0724910764395 0 0 0.54439 M01
4476527 4346675 0.00869913008699996 0.246927376477 0.0762847270125 -0.02372630794577168 -0.0508234938993 0.0725208634467 0 0 0.14183 M01
4476527 528865 0.00149985001499997 -0.24395361861 0.0403840523749 -0.1327952366526208 -0.105997393044 0.0725148255311 0 0 1.19439 M01
4476527 841635 0.00109989001099997 -0.239415534072 -0.0323117148811 -0.17747970382331366 -0.254891572855 0.0723526527552 0 0 0.91299 M01
4476780 176312 0.00439956004399999 0.20559382481 0.00778531998451 -0.008063490194986684 -0.109703953031 0.0729352577465 0 0 0.27536 M01
4476780 28218 0.00329967003300002 0.212771421547 -0.00442259176497 -0.03666247881320713 -0.0569733047717 0.0727212511973 0 0 0.3418 M01
4476780 3907189 0.000399960004 -0.266255257943 0.0209382213619 -0.004497257001522872 0.0179036379058 0.0723069443309 0 0 0.33651 M01
4476780 4045886 0.000499950005000027 0.259064831502 0.00988880668444 -0.012565643471644539 -0.0136285578552 0.0724956987271 0 0 0.40585 M01
4476780 4144205 0.00329967003300002 -0.20619345845 0.0139089476985 -0.05912528285146161 -0.141195272843 0.0723455222919 0 0 0.37172 M01
4476780 4327141 0.001199880012 0.236052194208 -0.00410130215532 -0.021393668794306386 -0.0675015366806 0.0720643091043 0 0 0.40191 M01
4476780 4457872 0.00889911008900002 -0.21122362603 0.0436686293656 -0.005039677428021981 -0.0727557242598 0.0711266417147 0 0 0.40113 M01
4476780 4468234 0.000199980002000055 -0.296485519496 -0.0488547701701 0.04011017364948542 -0.0602159480903 0.0720780643573 0 0 0.40403 M01
4477861 185420 0.00629937006299996 -0.225348985935 -0.0496544905637 0.03537373192945403 -0.00159068698914 0.0726751272639 0 0 0.38512 M01
4477861 208479 0.00539946005400005 -0.196238856179 -0.0102981623507 0.1359879917462044 0.0157077231823 0.0723852469691 0 0 0.32809 M01
4477861 315846 0.001199880012 -0.234442041719 0.0107982912925 0.029149299682422598 -0.0673157765016 0.0727515351106 0 0 0.4608 M01
4478125 125624 0.003599640036 -0.235143957039 0.0420941381278 0.003137330723933791 0.0504367312695 0.0725195477173 0 0 0.47806 M01
4478125 1803030 0.00459954004600005 -0.287704389956 -0.104519681175 0.02315447483277825 0.00570784793246 0.0712763115851 0 0 0.40877 M01
4478815 208479 0.002799720028 0.301316818664 0.0974030963693 0.08754630031998463 -0.0721377766357 0.0711689201148 0 0 0.69231 M01
4478815 4194837 0.00739926007400005 0.24041427328 0.0615025664316 -0.014367896724415997 -0.0523367250011 0.0734385475723 0 0 0.12225 M01
4478815 528865 0.00529947005300002 0.214839183091 -0.0446702039267 0.12866658403620923 -0.023664775792 0.0713862377588 0 0 0.96666 M01
4479397 4365130 4.99975000000097e-05 -0.328299801112 -0.0461381480693 0.025021987164765426 0.000846046757579 0.0714975712159 0 0 0.14092 M01
4479397 846127 0.000699930006999971 -0.26134507377 -0.0402309899136 0.0458620128096715 -0.0174718405813 0.0725435947599 0 0 0.1656 M01
4481613 181432 0.00529947005300002 0.220402108183 0.0421711333607 -0.018347941586573855 -0.0649974782658 0.0713534746941 0 0 0.68187 M01
